Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
25-34,Male,Asian Expat,Working Professional,"<5,000",Dubai,Rarely,Social Media,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Milk",Not Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Lack of Time, Lack of Information, Limited Options, None",Gyms,5-10,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Other","Berries, Citrus, Tropical, Chocolate, Other",Immunity,High Quality,"BrandC, Brand_M",Likely,Maybe,Too expensive
35-44,Other,Western Expat,Working Professional,"<5,000",Dubai,Rarely,Social Media,"Vegan, Gluten-Free, Lactose-Free","Water, Juices, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar","Lack of Time, Cost, Lack of Information, Taste Preferences",Online,5-10,Very Unlikely,Yes,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal","Digestion, Energy, Stress Relief, No Specific Issues","Innovative, Other","BrandC, BrandE, Brand_P",Likely,Yes,
Under 18,Other,Asian Expat,Other,"<5,000",Abu Dhabi,Rarely,Other,"Gluten-Free, Diabetic","Water, Soft Drinks, Tea/Coffee, Other",Extremely Important,"Taste, Low Sugar, Added Vitamins, Convenience","Cost, Taste Preferences, None",Cafes/Restaurants,5-10,Likely,Yes,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Citrus, Herbal, Chocolate, Plain","Immunity, Energy, Skin/Hair health, Stress Relief","Good Value, High Quality, Other","BrandE, BrandB, Brand_V",Likely,Maybe,
18-24,Other,Asian Expat,Working Professional,"<5,000",Dubai,Occasionally,Magazines/TV,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Sports Drinks, Milk",Not Important,"Low Sugar, Affordable Price, Brand Reputation, Convenience","Lack of Time, Cost",Other,11-15,Unlikely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Health Benefits","Chocolate, Plain","Weight Management, Skin/Hair health, No Specific Issues","Too Expensive, Good Value, Innovative","BrandD, Brand_S",Likely,Yes,
Under 18,Prefer not to say,Western Expat,Homemaker,"10,001-20,000",Ajman,Frequently,Social Media,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks",Somewhat Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Brand Reputation","Cost, Limited Options, Taste Preferences",Gyms,>25,Neutral,Maybe,"Discounts, Attractive Packaging, Health Benefits","Berries, Tropical, Other","Immunity, Digestion","Not Widely Available, High Quality, Innovative","BrandB, Brand_X",Very Unlikely,Maybe,
18-24,Prefer not to say,Arab Expat,Working Professional,"20,001-35,000",Abu Dhabi,Never,Health Professionals,"Vegan, Gluten-Free, Lactose-Free","Water, Energy Drinks, Other",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation","Lack of Time, Cost",Cafes/Restaurants,<5,Unlikely,Yes,Recommendations,"Citrus, Tropical, Plain","Energy, No Specific Issues","Too Expensive, Not Widely Available, Good Value","Brand_P, BrandB",Likely,Yes,
25-34,Other,Asian Expat,Business Owner,">50,000",Dubai,Frequently,Friends/Family,Vegetarian,"Water, Energy Drinks, Tea/Coffee",Important,"Taste, Added Vitamins, Convenience, Other","Limited Options, Taste Preferences, None",Convenience Stores,5-10,Very Unlikely,Yes,"Free Samples, Discounts, Attractive Packaging, Health Benefits","Berries, Citrus, Chocolate, Plain","Immunity, Digestion, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Widely Available, Innovative","Brand_N, BrandB",Neutral,No,
55+,Male,Western Expat,Homemaker,">50,000",Dubai,Frequently,Other,"Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Other","Lack of Time, Cost",Supermarkets,5-10,Unlikely,Yes,"Free Samples, Attractive Packaging, Health Benefits","Berries, Citrus, Plain","Digestion, Weight Management","Not Tasty, Good Value, High Quality","Brand_O, BrandB",Neutral,Maybe,
18-24,Female,Other,Retired,"<5,000",Dubai,Rarely,Social Media,"Gluten-Free, Lactose-Free","Soft Drinks, Juices, Energy Drinks, Tea/Coffee",Extremely Important,"Natural Ingredients, Added Vitamins","Cost, Limited Options",Supermarkets,16-25,Unlikely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Tropical, Other","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Not Widely Available, Other","BrandA, Brand_T",Unlikely,Maybe,
45-54,Male,Asian Expat,Business Owner,"5,000-10,000",Other,Frequently,Magazines/TV,"Vegetarian, Lactose-Free","Water, Soft Drinks, Tea/Coffee, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price","Cost, Lack of Information, None",Cafes/Restaurants,>25,Very Likely,Yes,"Discounts, Other","Tropical, Chocolate, Plain",Stress Relief,"Not Tasty, Not Widely Available, Good Value, High Quality","BrandA, Brand_V",Very Unlikely,No,
25-34,Prefer not to say,Asian Expat,Other,">50,000",Ras Al Khaimah,Occasionally,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Juices, Energy Drinks, Tea/Coffee, Other",Not Important,"Added Vitamins, Affordable Price, Other","Lack of Time, Cost, Lack of Information, None",Gyms,16-25,Very Likely,No,"Free Samples, Discounts, Health Benefits","Berries, Tropical, Herbal, Plain","Immunity, Weight Management","Not Tasty, Good Value","BrandE, Brand_T",Unlikely,No,
35-44,Prefer not to say,Arab Expat,Other,"<5,000",Other,Never,Other,"Vegetarian, Lactose-Free",Tea/Coffee,Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins","Taste Preferences, None",Cafes/Restaurants,11-15,Likely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Citrus, Tropical","Immunity, Energy, Weight Management, No Specific Issues","Too Expensive, Not Tasty, High Quality","Brand_P, BrandB",Neutral,No,
35-44,Male,Arab Expat,Homemaker,"10,001-20,000",Abu Dhabi,Rarely,Health Professionals,"Vegan, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Not Important,"Taste, Brand Reputation","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Supermarkets,11-15,Very Likely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging","Chocolate, Other","Immunity, Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Not Widely Available, Innovative","BrandC, BrandB, Brand_M",Likely,Yes,
Under 18,Male,Other,Retired,"35,001-50,000",Ras Al Khaimah,Daily,Friends/Family,"Vegetarian, Vegan, Diabetic","Water, Juices, Milk",Not Important,"Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Cost, Limited Options",Cafes/Restaurants,<5,Very Likely,Maybe,"Free Samples, Discounts, Recommendations, Other","Berries, Tropical","Digestion, Stress Relief","Not Widely Available, Other","Brand_T, BrandA, BrandD",Likely,Yes,
Under 18,Prefer not to say,Arab Expat,Student,"5,000-10,000",Ras Al Khaimah,Never,Magazines/TV,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Affordable Price, Convenience",Limited Options,Cafes/Restaurants,11-15,Very Likely,Yes,"Free Samples, Recommendations, Health Benefits","Berries, Tropical, Herbal, Plain","Digestion, Energy, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, High Quality, Innovative","BrandE, Brand_L",Very Likely,Maybe,
25-34,Prefer not to say,Other,Student,"<5,000",Ras Al Khaimah,Daily,Other,"Vegetarian, Gluten-Free, Lactose-Free","Water, Tea/Coffee, Other",Somewhat Important,"Low Sugar, Affordable Price, Brand Reputation","Lack of Time, Lack of Information, Taste Preferences, None",Convenience Stores,<5,Very Likely,No,"Free Samples, Discounts, Recommendations, Health Benefits","Herbal, Chocolate","Immunity, Stress Relief, No Specific Issues","Not Tasty, High Quality, Other","BrandB, Brand_R",Very Unlikely,Yes,
Under 18,Other,Asian Expat,Homemaker,"10,001-20,000",Abu Dhabi,Daily,Other,"Vegan, Diabetic","Water, Soft Drinks, Energy Drinks, Milk, Other",Somewhat Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation","Taste Preferences, None",Cafes/Restaurants,16-25,Likely,Maybe,"Recommendations, Health Benefits","Citrus, Tropical, Chocolate, Plain","Digestion, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Good Value, Other","BrandE, Brand_W, BrandD",Very Likely,Maybe,
Under 18,Female,Western Expat,Homemaker,"35,001-50,000",Abu Dhabi,Frequently,Social Media,"Vegetarian, Gluten-Free","Water, Energy Drinks, Other",Somewhat Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience","Limited Options, Taste Preferences",Convenience Stores,5-10,Very Likely,No,"Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate","Energy, Skin/Hair health","Too Expensive, High Quality, Innovative","BrandA, Brand_V",Very Unlikely,No,
25-34,Other,Arab Expat,Business Owner,"<5,000",Other,Never,Health Professionals,"Vegetarian, Vegan, Lactose-Free","Water, Energy Drinks, Milk",Somewhat Important,"Taste, Low Sugar, Natural Ingredients","Lack of Information, Limited Options, None",Gyms,5-10,Very Likely,No,"Discounts, Attractive Packaging","Berries, Tropical, Herbal","Digestion, Energy, Stress Relief","Too Expensive, Not Tasty, Innovative","BrandA, Brand_V",Very Unlikely,Maybe,
18-24,Other,Other,Other,"10,001-20,000",Ajman,Occasionally,Other,"Vegetarian, Vegan","Water, Milk",Very Important,"Low Sugar, Affordable Price, Brand Reputation","Lack of Information, None",Convenience Stores,>25,Very Unlikely,No,Free Samples,"Berries, Tropical, Chocolate","Immunity, Energy, Skin/Hair health, Stress Relief, No Specific Issues","Too Expensive, Other",BrandB,Likely,No,
25-34,Male,Arab Expat,Homemaker,"10,001-20,000",Sharjah,Frequently,Health Professionals,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Somewhat Important,"Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Lack of Time, Taste Preferences, None",Supermarkets,11-15,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging","Citrus, Tropical","Digestion, Energy, Skin/Hair health, Stress Relief",Not Widely Available,"Brand_K, BrandB",Likely,No,
25-34,Male,Arab Expat,Working Professional,"20,001-35,000",Ajman,Daily,Friends/Family,"Vegetarian, Lactose-Free","Water, Soft Drinks",Important,"Natural Ingredients, Added Vitamins","Lack of Time, Cost, Limited Options, None",Gyms,>25,Likely,Yes,"Free Samples, Attractive Packaging, Health Benefits","Berries, Plain, Other","Immunity, Energy, Weight Management, No Specific Issues","Too Expensive, Not Widely Available, Good Value, High Quality","BrandC, BrandA",Unlikely,Maybe,
Under 18,Female,Emirati,Business Owner,"10,001-20,000",Other,Never,Social Media,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Milk, Other",Somewhat Important,"Taste, Natural Ingredients, Convenience","Taste Preferences, None",Cafes/Restaurants,>25,Likely,Yes,"Free Samples, Recommendations, Other","Berries, Herbal, Plain, Other","Immunity, Weight Management","Too Expensive, Not Tasty, High Quality, Other","BrandB, BrandD, Brand_X",Neutral,Yes,
45-54,Other,Asian Expat,Other,"<5,000",Ras Al Khaimah,Frequently,Friends/Family,"Vegetarian, Gluten-Free, Lactose-Free","Water, Juices, Tea/Coffee",Not Important,"Taste, Low Sugar, Natural Ingredients, Brand Reputation, Other","Cost, Lack of Information, None",Supermarkets,5-10,Unlikely,Maybe,"Attractive Packaging, Health Benefits","Herbal, Other","Immunity, Digestion, Weight Management, Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available","BrandA, BrandB",Neutral,Yes,
35-44,Other,Arab Expat,Business Owner,"10,001-20,000",Sharjah,Never,Social Media,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Very Important,"Taste, Low Sugar, Added Vitamins, Brand Reputation, Convenience, Other","Lack of Time, Cost, Limited Options, Taste Preferences, None",Convenience Stores,11-15,Very Likely,Maybe,"Free Samples, Health Benefits","Citrus, Plain","Immunity, Energy, Weight Management, Stress Relief, No Specific Issues","Not Tasty, High Quality, Innovative","Brand_I, BrandD",Likely,Maybe,
Under 18,Prefer not to say,Western Expat,Other,"5,000-10,000",Ajman,Rarely,Social Media,"Vegetarian, Vegan","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Milk",Not Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Other","Lack of Time, Cost, None",Convenience Stores,5-10,Neutral,No,"Discounts, Recommendations","Berries, Citrus, Tropical","Digestion, Energy, Stress Relief","Too Expensive, Not Widely Available, Good Value","BrandC, BrandE, BrandB",Neutral,Yes,
18-24,Prefer not to say,Emirati,Working Professional,"10,001-20,000",Abu Dhabi,Occasionally,Health Professionals,"Vegetarian, Vegan","Water, Sports Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Taste Preferences, None",Other,>25,Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Herbal, Chocolate, Plain",Digestion,"Too Expensive, Not Widely Available, Good Value","Brand_N, BrandD",Very Unlikely,No,
55+,Female,Other,Other,"10,001-20,000",Abu Dhabi,Occasionally,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Cost, Limited Options, None",Online,11-15,Likely,Yes,"Free Samples, Health Benefits","Citrus, Tropical","Digestion, Stress Relief, No Specific Issues","Not Tasty, Not Widely Available, Good Value, High Quality","Brand_P, BrandD",Neutral,No,
18-24,Male,Other,Business Owner,">50,000",Dubai,Occasionally,Friends/Family,"Vegetarian, Gluten-Free, Diabetic","Water, Juices, Energy Drinks, Tea/Coffee",Somewhat Important,"Taste, Natural Ingredients, Brand Reputation, Convenience","Cost, Taste Preferences",Cafes/Restaurants,5-10,Unlikely,Yes,"Free Samples, Discounts, Attractive Packaging, Other","Berries, Citrus, Tropical","Immunity, Weight Management","Too Expensive, High Quality, Innovative","Brand_F, BrandD",Unlikely,Yes,
35-44,Prefer not to say,Western Expat,Other,"5,000-10,000",Abu Dhabi,Daily,Friends/Family,"Vegan, Gluten-Free, Lactose-Free","Water, Juices, Sports Drinks, Tea/Coffee",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience, Other","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Online,<5,Neutral,Yes,"Recommendations, Attractive Packaging","Herbal, Plain","Digestion, Energy, Skin/Hair health, No Specific Issues","Too Expensive, Not Widely Available, Good Value, High Quality, Innovative","BrandC, BrandE, Brand_P",Neutral,Yes,
55+,Female,Western Expat,Business Owner,"<5,000",Ajman,Daily,Friends/Family,"Vegetarian, Diabetic","Water, Energy Drinks, Tea/Coffee",Very Important,"Added Vitamins, Brand Reputation","Lack of Time, Cost, Taste Preferences",Gyms,<5,Very Unlikely,Yes,Free Samples,"Berries, Citrus, Tropical, Chocolate, Plain","Immunity, Skin/Hair health, Stress Relief","Innovative, Other","BrandC, Brand_Z",Neutral,No,
25-34,Other,Asian Expat,Homemaker,"35,001-50,000",Other,Occasionally,Health Professionals,None,"Water, Juices, Energy Drinks, Sports Drinks, Milk",Not Important,"Taste, Low Sugar, Added Vitamins, Convenience",None,Supermarkets,16-25,Neutral,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Plain","Immunity, Energy, Stress Relief, No Specific Issues","Good Value, High Quality","Brand_T, BrandB, BrandD",Unlikely,Maybe,
45-54,Female,Western Expat,Working Professional,"20,001-35,000",Sharjah,Never,Health Professionals,None,"Soft Drinks, Juices",Important,"Natural Ingredients, Added Vitamins, Affordable Price, Convenience","Cost, Lack of Information, Limited Options, Taste Preferences",Online,16-25,Unlikely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Chocolate, Other","Digestion, Energy","Too Expensive, Not Tasty, High Quality","BrandC, Brand_O, BrandA",Unlikely,Yes,
45-54,Female,Other,Business Owner,">50,000",Dubai,Rarely,Magazines/TV,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Other","Lack of Time, Cost, Lack of Information, None",Gyms,11-15,Very Likely,Yes,"Free Samples, Discounts, Attractive Packaging, Health Benefits","Tropical, Plain","Immunity, Energy, No Specific Issues","Too Expensive, Not Tasty","BrandC, Brand_G, BrandD",Likely,Yes,
35-44,Prefer not to say,Asian Expat,Student,"35,001-50,000",Abu Dhabi,Daily,Other,"Vegan, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Other",Very Important,"Added Vitamins, Affordable Price, Other","Lack of Time, Cost, Lack of Information, Taste Preferences",Convenience Stores,16-25,Very Unlikely,No,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Tropical, Herbal, Chocolate, Plain",Immunity,"Too Expensive, Not Tasty, Not Widely Available, High Quality","Brand_K, BrandB",Unlikely,Maybe,
Under 18,Prefer not to say,Western Expat,Student,"<5,000",Abu Dhabi,Frequently,Magazines/TV,"Vegan, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks",Extremely Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Cost, Limited Options",Online,11-15,Neutral,Maybe,Health Benefits,"Berries, Herbal, Plain, Other","Energy, Weight Management, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, High Quality, Innovative",BrandE,Likely,No,
35-44,Other,Western Expat,Retired,"<5,000",Sharjah,Frequently,Magazines/TV,"Gluten-Free, Lactose-Free","Water, Juices, Sports Drinks",Extremely Important,"Low Sugar, Natural Ingredients, Brand Reputation, Convenience",Limited Options,Supermarkets,>25,Very Likely,No,"Free Samples, Discounts, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate","Immunity, Digestion, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, High Quality, Innovative","Brand_T, BrandD",Very Unlikely,Maybe,
